,image,subject,contrast,hemi,view
0,s03/tstat03_imagine_rest.nii.gz.s03.lh_medial.png,s03,imagine_rest,lh,medial
1,s03/tstat01_turning_rest.nii.gz.s03.rh_medial.png,s03,turning_rest,rh,medial
2,s03/tstat03_imagine_rest.nii.gz.s03.rh_medial.png,s03,imagine_rest,rh,medial
3,s03/tstat01_turning_rest.nii.gz.s03.lh_medial.png,s03,turning_rest,lh,medial
4,s03/tstat01_turning_rest.nii.gz.s03.rh_lateral.png,s03,turning_rest,rh,lateral
5,s03/tstat04_turning_walking.nii.gz.s03.lh_lateral.png,s03,turning_walking,lh,lateral
6,s03/SMA_imagine_rest.nii.gz.s03.lh_lateral.png,s03,imagine_rest,lh,lateral
7,s03/tstat02_walking_rest.nii.gz.s03.rh_lateral.png,s03,walking_rest,rh,lateral
8,s03/tstat02_walking_rest.nii.gz.s03.lh_medial.png,s03,walking_rest,lh,medial
9,s03/tstat02_walking_rest.nii.gz.s03.rh_medial.png,s03,walking_rest,rh,medial
10,s03/tstat03_imagine_rest.nii.gz.s03.lh_lateral.png,s03,imagine_rest,lh,lateral
11,s03/tstat04_turning_walking.nii.gz.s03.rh_lateral.png,s03,turning_walking,rh,lateral
12,s03/tstat01_turning_rest.nii.gz.s03.lh_lateral.png,s03,turning_rest,lh,lateral
13,s03/tstat04_turning_walking.nii.gz.s03.rh_medial.png,s03,turning_walking,rh,medial
14,s03/tstat04_turning_walking.nii.gz.s03.lh_medial.png,s03,turning_walking,lh,medial
15,s03/SMA_imagine_rest.nii.gz.s03.rh_lateral.png,s03,imagine_rest,rh,lateral
16,s03/tstat03_imagine_rest.nii.gz.s03.rh_lateral.png,s03,imagine_rest,rh,lateral
17,s03/SMA_imagine_rest.nii.gz.s03.lh_medial.png,s03,imagine_rest,lh,medial
18,s03/tstat02_walking_rest.nii.gz.s03.lh_lateral.png,s03,walking_rest,lh,lateral
19,s03/SMA_imagine_rest.nii.gz.s03.rh_medial.png,s03,imagine_rest,rh,medial
20,s03/SMA_imagine_rest.nii.gz.s03.rh_dorsal.png,s03,imagine_rest,rh,dorsal
21,s03/SMA_imagine_rest.nii.gz.s03.lh_dorsal.png,s03,imagine_rest,lh,dorsal
22,s04/SMA_imagine_rest.nii.gz.s04.lh_lateral.png,s04,imagine_rest,lh,lateral
23,s04/tstat01_turning_rest.nii.gz.s04.rh_lateral.png,s04,turning_rest,rh,lateral
24,s04/SMA_imagine_rest.nii.gz.s04.rh_dorsal.png,s04,imagine_rest,rh,dorsal
25,s04/SMA_imagine_rest.nii.gz.s04.lh_dorsal.png,s04,imagine_rest,lh,dorsal
26,s04/tstat03_imagine_rest.nii.gz.s04.lh_medial.png,s04,imagine_rest,lh,medial
27,s04/tstat01_turning_rest.nii.gz.s04.rh_medial.png,s04,turning_rest,rh,medial
28,s04/tstat04_turning_walking.nii.gz.s04.lh_lateral.png,s04,turning_walking,lh,lateral
29,s04/tstat03_imagine_rest.nii.gz.s04.rh_medial.png,s04,imagine_rest,rh,medial
30,s04/tstat01_turning_rest.nii.gz.s04.lh_medial.png,s04,turning_rest,lh,medial
31,s04/SMA_imagine_rest.nii.gz.s04.lh_medial.png,s04,imagine_rest,lh,medial
32,s04/SMA_imagine_rest.nii.gz.s04.rh_medial.png,s04,imagine_rest,rh,medial
33,s04/tstat02_walking_rest.nii.gz.s04.rh_lateral.png,s04,walking_rest,rh,lateral
34,s04/tstat03_imagine_rest.nii.gz.s04.lh_lateral.png,s04,imagine_rest,lh,lateral
35,s04/tstat02_walking_rest.nii.gz.s04.lh_medial.png,s04,walking_rest,lh,medial
36,s04/tstat02_walking_rest.nii.gz.s04.rh_medial.png,s04,walking_rest,rh,medial
37,s04/tstat01_turning_rest.nii.gz.s04.lh_lateral.png,s04,turning_rest,lh,lateral
38,s04/SMA_imagine_rest.nii.gz.s04.rh_lateral.png,s04,imagine_rest,rh,lateral
39,s04/tstat04_turning_walking.nii.gz.s04.rh_lateral.png,s04,turning_walking,rh,lateral
40,s04/tstat03_imagine_rest.nii.gz.s04.rh_lateral.png,s04,imagine_rest,rh,lateral
41,s04/tstat02_walking_rest.nii.gz.s04.lh_lateral.png,s04,walking_rest,lh,lateral
42,s04/tstat04_turning_walking.nii.gz.s04.lh_medial.png,s04,turning_walking,lh,medial
43,s04/tstat04_turning_walking.nii.gz.s04.rh_medial.png,s04,turning_walking,rh,medial
44,s05/tstat04_turning_walking.nii.gz.s05.rh_lateral.png,s05,turning_walking,rh,lateral
45,s05/tstat03_imagine_rest.nii.gz.s05.lh_lateral.png,s05,imagine_rest,lh,lateral
46,s05/tstat02_walking_rest.nii.gz.s05.rh_lateral.png,s05,walking_rest,rh,lateral
47,s05/SMA_imagine_rest.nii.gz.s05.rh_lateral.png,s05,imagine_rest,rh,lateral
48,s05/SMA_imagine_rest.nii.gz.s05.lh_medial.png,s05,imagine_rest,lh,medial
49,s05/SMA_imagine_rest.nii.gz.s05.rh_medial.png,s05,imagine_rest,rh,medial
50,s05/tstat01_turning_rest.nii.gz.s05.rh_lateral.png,s05,turning_rest,rh,lateral
51,s05/tstat04_turning_walking.nii.gz.s05.rh_medial.png,s05,turning_walking,rh,medial
52,s05/tstat04_turning_walking.nii.gz.s05.lh_medial.png,s05,turning_walking,lh,medial
53,s05/SMA_imagine_rest.nii.gz.s05.rh_dorsal.png,s05,imagine_rest,rh,dorsal
54,s05/SMA_imagine_rest.nii.gz.s05.lh_dorsal.png,s05,imagine_rest,lh,dorsal
55,s05/tstat03_imagine_rest.nii.gz.s05.lh_medial.png,s05,imagine_rest,lh,medial
56,s05/tstat01_turning_rest.nii.gz.s05.rh_medial.png,s05,turning_rest,rh,medial
57,s05/tstat03_imagine_rest.nii.gz.s05.rh_medial.png,s05,imagine_rest,rh,medial
58,s05/tstat01_turning_rest.nii.gz.s05.lh_medial.png,s05,turning_rest,lh,medial
59,s05/tstat04_turning_walking.nii.gz.s05.lh_lateral.png,s05,turning_walking,lh,lateral
60,s05/tstat02_walking_rest.nii.gz.s05.lh_lateral.png,s05,walking_rest,lh,lateral
61,s05/tstat03_imagine_rest.nii.gz.s05.rh_lateral.png,s05,imagine_rest,rh,lateral
62,s05/SMA_imagine_rest.nii.gz.s05.lh_lateral.png,s05,imagine_rest,lh,lateral
63,s05/tstat02_walking_rest.nii.gz.s05.lh_medial.png,s05,walking_rest,lh,medial
64,s05/tstat02_walking_rest.nii.gz.s05.rh_medial.png,s05,walking_rest,rh,medial
65,s05/tstat01_turning_rest.nii.gz.s05.lh_lateral.png,s05,turning_rest,lh,lateral
66,s06/tstat01_turning_rest.nii.gz.s06.lh_lateral.png,s06,turning_rest,lh,lateral
67,s06/tstat04_turning_walking.nii.gz.s06.lh_lateral.png,s06,turning_walking,lh,lateral
68,s06/tstat03_imagine_rest.nii.gz.s06.rh_lateral.png,s06,imagine_rest,rh,lateral
69,s06/tstat02_walking_rest.nii.gz.s06.lh_lateral.png,s06,walking_rest,lh,lateral
70,s06/SMA_imagine_rest.nii.gz.s06.lh_lateral.png,s06,imagine_rest,lh,lateral
71,s06/SMA_imagine_rest.nii.gz.s06.lh_dorsal.png,s06,imagine_rest,lh,dorsal
72,s06/SMA_imagine_rest.nii.gz.s06.rh_dorsal.png,s06,imagine_rest,rh,dorsal
73,s06/SMA_imagine_rest.nii.gz.s06.rh_medial.png,s06,imagine_rest,rh,medial
74,s06/SMA_imagine_rest.nii.gz.s06.lh_medial.png,s06,imagine_rest,lh,medial
75,s06/tstat01_turning_rest.nii.gz.s06.rh_lateral.png,s06,turning_rest,rh,lateral
76,s06/tstat04_turning_walking.nii.gz.s06.rh_medial.png,s06,turning_walking,rh,medial
77,s06/tstat04_turning_walking.nii.gz.s06.lh_medial.png,s06,turning_walking,lh,medial
78,s06/tstat01_turning_rest.nii.gz.s06.rh_medial.png,s06,turning_rest,rh,medial
79,s06/tstat03_imagine_rest.nii.gz.s06.lh_medial.png,s06,imagine_rest,lh,medial
